user_id,product_id,event,ts
1,14,cart,1717963510
1,23,view,1727329532
1,69,cart,1707227640
1,10,view,1725442603
1,138,purchase,1737736570
1,86,view,1722870581
1,14,view,1710714762
1,35,view,1722630226
1,144,view,1722400696
1,180,view,1716452634
1,42,view,1700112108
1,112,cart,1705879642
1,153,view,1725339956
1,18,cart,1700442585
1,81,view,1749126322
1,115,view,1706847568
1,12,view,1706225324
1,171,view,1709541207
1,33,view,1701425122
1,75,view,1728899599
1,147,purchase,1732005786
1,68,cart,1731493698
1,10,cart,1720474721
1,88,view,1735008697
1,124,view,1713882305
1,156,view,1742866227
1,135,view,1737904028
1,81,view,1700842088
1,102,view,1743362699
1,132,view,1729151196
1,176,cart,1736139427
1,164,view,1744738636
1,153,view,1732624066
1,134,view,1744860277
1,108,view,1725133721
1,131,view,1702136833
1,194,purchase,1743315507
1,47,cart,1748709481
1,22,view,1732675651
1,169,view,1717574956
1,44,view,1722474793
1,87,view,1737191978
1,101,view,1704918460
1,186,view,1730653119
1,100,view,1738464687
1,200,cart,1722555698
1,5,cart,1712687727
1,151,view,1705916135
1,161,view,1724395102
1,4,view,1723616527
1,59,cart,1727227331
1,137,purchase,1733622052
1,186,view,1704008163
1,164,view,1719307375
1,127,view,1742277960
1,185,view,1715661409
1,140,cart,1732468038
1,46,cart,1710318771
1,138,view,1729829884
1,97,purchase,1730957054
1,12,cart,1700681293
1,35,view,1730624480
1,50,view,1701409875
1,66,view,1723625509
1,176,view,1718248903
1,112,view,1742565033
1,108,view,1700023846
1,28,cart,1741445403
1,17,view,1734247014
1,91,cart,1747449491
1,23,view,1705563694
1,111,view,1700574533
1,138,view,1725330832
1,19,view,1736680557
1,178,view,1742620378
1,104,view,1701955342
1,83,purchase,1717618762
1,121,purchase,1702216683
1,193,view,1737687547
1,86,view,1727787873
2,90,cart,1701596671
2,164,cart,1742686869
2,42,view,1728121152
2,17,purchase,1748165233
2,174,view,1709662614
2,96,view,1744879780
2,61,purchase,1749936645
2,21,view,1742112299
2,15,purchase,1734809107
2,100,view,1736073455
2,79,view,1709807237
2,168,view,1719541757
2,199,view,1726122747
2,95,cart,1708487255
2,137,cart,1722664295
2,133,view,1708023953
2,162,cart,1711193873
2,151,view,1725920541
2,111,view,1704164491
2,190,view,1709127865
2,117,view,1744858728
2,6,view,1723457211
2,116,view,1749556206
2,190,view,1748327532
2,183,cart,1744884713
2,116,view,1720388060
2,110,cart,1701896364
2,41,view,1735003364
2,84,view,1734684719
2,132,view,1737351337
2,36,view,1723056651
2,129,view,1707031500
2,140,purchase,1748742923
2,95,view,1715093070
2,146,view,1722822439
2,24,cart,1718236926
2,130,cart,1716323511
2,53,view,1721612894
2,68,purchase,1726720748
2,12,view,1733591164
2,21,purchase,1713226812
2,130,view,1713388174
2,195,view,1701151607
2,50,purchase,1718001939
2,145,view,1715497317
2,22,view,1740272155
2,82,view,1705619757
2,88,cart,1737214194
2,138,cart,1708956860
2,137,view,1709089626
2,124,view,1733036817
2,188,view,1726733226
2,199,view,1701894120
2,66,purchase,1747899840
2,148,cart,1732622958
2,88,view,1726562581
2,58,view,1733638824
